"Date","Price","Open","High","Low","Vol.","Change %"
"04/10/2013","260.77","255.43","260.78","254.96","657.30K","2.65%"
"04/09/2013","254.04","251.91","255.56","249.72","760.30K","1.87%"
"04/08/2013","249.38","245.47","249.41","244.10","470.28K","1.46%"
"04/05/2013","245.79","247.23","248.00","241.04","1.33M","-2.12%"
"04/04/2013","251.11","248.22","251.15","247.60","806.89K","1.16%"
"04/03/2013","248.23","257.83","258.00","247.34","882.53K","-3.58%"
"04/02/2013","257.44","253.41","257.88","253.21","644.17K","1.77%"
"04/01/2013","252.96","256.50","256.85","252.47","389.57K","-1.53%"
"03/28/2013","256.88","257.36","258.65","255.26","547.64K","0.12%"
"03/27/2013","256.57","257.20","257.60","254.88","349.84K","-0.71%"
"03/26/2013","258.41","252.80","258.68","252.04","635.90K","2.62%"
"03/25/2013","251.82","255.00","257.33","251.44","853.25K","-0.52%"
"03/22/2013","253.13","253.52","254.52","252.12","692.88K","0.05%"
"03/21/2013","253.00","256.28","259.19","252.81","1.04M","-2.20%"
"03/20/2013","258.70","255.25","259.57","255.25","755.05K","2.18%"
"03/19/2013","253.18","255.08","256.36","250.69","565.30K","-0.81%"
"03/18/2013","255.25","254.11","256.53","253.43","449.23K","-0.58%"
"03/15/2013","256.74","255.07","256.80","254.26","982.70K","0.27%"
"03/14/2013","256.04","254.89","257.77","254.11","967.37K","0.92%"
"03/13/2013","253.70","250.34","254.00","249.50","776.81K","1.71%"
"03/12/2013","249.44","248.08","250.29","247.71","1.01M","0.63%"
"03/11/2013","247.87","248.27","248.44","246.28","565.26K","-0.16%"
"03/08/2013","248.27","250.10","251.02","247.44","582.15K","-0.08%"
"03/07/2013","248.47","250.45","251.70","248.28","769.44K","-0.44%"
"03/06/2013","249.57","245.77","250.00","245.77","1.12M","2.12%"
"03/05/2013","244.39","242.24","244.61","238.29","1.03M","1.29%"
"03/04/2013","241.27","236.23","241.38","236.00","688.72K","1.87%"
"03/01/2013","236.83","238.17","238.17","233.80","836.20K","-1.22%"
"02/28/2013","239.75","240.94","242.11","239.56","565.90K","-0.55%"
"02/27/2013","241.07","236.03","241.63","235.05","520.32K","2.08%"
"02/26/2013","236.15","238.09","239.21","234.34","876.76K","-0.15%"
"02/25/2013","236.50","242.70","243.66","236.50","793.57K","-1.81%"
"02/22/2013","240.87","238.00","240.88","238.00","836.61K","1.97%"
"02/21/2013","236.22","238.16","238.50","235.30","955.54K","-1.21%"
"02/20/2013","239.12","243.54","243.98","239.00","741.20K","-2.05%"
"02/19/2013","244.12","243.42","245.36","242.66","1.01M","0.48%"
"02/15/2013","242.95","246.75","247.00","242.37","1.00M","-1.07%"
"02/14/2013","245.57","242.37","245.65","242.36","895.40K","1.26%"
"02/13/2013","242.52","240.20","243.03","239.75","985.94K","1.53%"
"02/12/2013","238.86","239.00","241.02","238.73","1.09M","-0.25%"
"02/11/2013","239.45","238.18","239.92","237.31","931.86K","0.54%"
"02/08/2013","238.16","236.64","238.69","235.75","552.21K","0.57%"
"02/07/2013","236.82","238.50","238.80","234.57","503.32K","-0.83%"
"02/06/2013","238.80","237.55","238.95","237.25","571.67K","-0.03%"
"02/05/2013","238.86","235.39","239.49","235.00","828.28K","1.87%"
"02/04/2013","234.48","232.17","236.25","231.66","966.85K","-1.02%"
"02/01/2013","236.89","234.64","237.79","234.00","1.02M","0.26%"
"01/31/2013","236.28","236.73","238.55","235.47","697.37K","-0.47%"
"01/30/2013","237.40","237.75","238.40","236.09","743.78K","-0.26%"
"01/29/2013","238.01","235.15","238.01","234.11","879.16K","1.34%"
"01/28/2013","234.86","235.59","236.32","233.16","914.30K","-0.66%"
"01/25/2013","236.42","237.53","237.75","235.85","1.08M","0.04%"
"01/24/2013","236.33","237.32","238.41","234.59","1.00M","0.14%"
"01/23/2013","235.99","237.30","238.62","235.14","888.47K","-0.41%"
"01/22/2013","236.96","234.12","237.01","234.05","1.14M","1.30%"
"01/18/2013","233.93","232.80","234.00","231.26","1.43M","0.83%"
"01/17/2013","232.00","228.75","234.46","227.00","1.72M","4.39%"
"01/16/2013","222.24","222.43","224.00","221.39","758.14K","-0.45%"
"01/15/2013","223.25","223.37","223.41","220.59","637.82K","0.48%"
"01/14/2013","222.19","221.23","224.47","220.06","869.36K","0.53%"
"01/11/2013","221.01","218.43","221.26","217.33","823.77K","1.03%"
"01/10/2013","218.75","216.02","220.00","215.82","829.37K","1.83%"
"01/09/2013","214.82","215.19","217.12","214.23","685.01K","0.26%"
"01/08/2013","214.26","217.02","217.44","214.05","630.39K","-1.55%"
"01/07/2013","217.63","217.68","218.29","215.25","722.21K","-0.18%"
"01/04/2013","218.03","213.03","218.86","213.02","805.13K","2.19%"
"01/03/2013","213.35","213.31","215.99","212.17","596.19K","0.27%"
"01/02/2013","212.77","210.62","212.87","208.77","951.51K","2.93%"
"12/31/2012","206.71","204.16","206.88","203.91","427.87K","1.08%"
"12/28/2012","204.51","204.91","206.27","203.88","320.42K","-0.76%"
"12/27/2012","206.07","205.85","206.83","204.04","372.94K","0.36%"
"12/26/2012","205.34","207.53","207.58","204.97","443.48K","-0.91%"
"12/24/2012","207.22","209.80","209.80","202.70","306.95K","0.23%"
"12/21/2012","206.75","206.02","209.91","205.37","1.18M","-1.21%"
"12/20/2012","209.29","207.29","209.43","206.11","612.52K","1.69%"
"12/19/2012","205.81","205.48","208.85","205.48","959.11K","-0.42%"
"12/18/2012","206.67","205.73","208.62","203.81","988.85K","0.67%"
"12/17/2012","205.29","202.31","205.35","200.89","1.13M","1.87%"
"12/14/2012","201.53","198.87","202.09","198.87","606.22K","0.40%"
"12/13/2012","200.72","200.64","201.33","200.14","545.80K","0.02%"
"12/12/2012","200.67","200.34","201.73","199.04","1.02M","0.61%"
"12/11/2012","199.45","195.77","199.65","195.77","704.57K","1.91%"
"12/10/2012","195.72","194.78","195.82","194.00","388.89K","0.49%"
"12/07/2012","194.76","194.42","194.85","193.31","272.47K","0.52%"
"12/06/2012","193.75","192.40","193.85","191.69","468.56K","0.68%"
"12/05/2012","192.44","191.20","193.55","190.24","752.42K","0.62%"
"12/04/2012","191.26","195.02","195.75","191.19","928.05K","-2.08%"
